,article_id,corpus_text
0," FBIS3-60108      ""jptdd003"," FBIS3-60108      ""jptdd003__l94074""        JPRS-TDD-94-003-L  Document Type:JPRS  Document Title:Narcotics     19 January 1994      WEST EUROPE   NORWAY      `No Clear Explanation' for Decrease in Oslo Overdose Deaths    94WD0129A Oslo AFTENPOSTEN in Norwegian 6 Dec 93 p 4   94WD0129A    Oslo AFTENPOSTEN     Language:  Norwegian  Article Type:CSO    [Article by Ole Martin Bjorklid: ""Fewer Overdose Deaths in  Oslo""]    [Text] The number of deaths caused by drug abuse has  decreased sharply in Oslo this year. In Drammen on the other  hand, the number of such deaths has doubled.    So far this year 42 people have been found dead in Oslo from  overdoses. During all of last year 76 such deaths were recorded.  There is no clear explanation of this development. The head of  the overdose team in Oslo, Rolf-Dieter Cron, thinks that the  increase in drug interdiction during the past year has played no  part in this positive development.    Fewer Emergencies    The police are also hesitant to draw any solid conclusions  about what impact large drug confiscations have had on the  availability in the illegal market.    The overdose team has had fewer emergency calls than in the  previous two years. At the same time one has had to give  antidotes to several people to save their life. Last year about  60 percent of those who had taken an overdose were given an  antidote, and this year this has risen to almost 80 percent.    ""Of the 42 deaths recorded this year we see a trend that  many  of these do not belong to the typical inner-city environment.  Many of these have been visitors. I am now anxious to see if the  decline in the number of deaths will also take place in other  large cities like Copenhagen, Bremen, and Stockholm,"" Cron says.    He thinks that if there is no decline in the other cities,  the overdose team's efforts are an important reason for the  decline in Oslo. He thinks that the increase in confiscated  sedatives will also have an impact. Police this year have  confiscated 30,000 pills compared to about 10,000 last year.    Dramatic in Drammen    ""We know that the mixture of heroin and sedatives is a  life-threatening combination. When it is more difficult to  obtain pills, this situation will have an effect on the number  of overdoses,"" Cron says.    Drammen has had a tremendous increase in the number of drug  deaths this past year. So far 21 deaths have been recorded. In  all of last year the city had 13 such cases. The cities of  Stavanger and Bergen have also had a higher number of overdoses  and deaths. Because of the increases there the number of deaths  in the entire country will probably not decrease this year  compared to last year. Then a total of 97 deaths were recorded.    Police Lieutenant Kristian Sather at Drammen police station  is quite worried over this development.    ""It is increasingly younger people who are being recruited  into the drug scene. Drammen is a burdened city, and we have  much to fight against."" He points out the fact that the police  alone cannot prevent people from being drawn into the drug scene.    ""The ambulance service in Drammen has done a great job and  saved many lives,"" Sather says.     "
0," FBIS3-60054      ""jptdd002"," FBIS3-60054      ""jptdd002__l94052""        JPRS-TDD-94-002-L  Document Type:JPRS  Document Title:Narcotics     11 January 1994      WEST EUROPE   NORWAY      `No Clear Explanation' for Decrease in Oslo Overdose Deaths    94WD0129A Oslo AFTENPOSTEN in Norwegian 6 Dec 93 p 4   94WD0129A    Oslo AFTENPOSTEN     Language:  Norwegian  Article Type:CSO    [Article by Ole Martin Bjorklid: ""Fewer Overdose Deaths in  Oslo""]    [Text] The number of deaths caused by drug abuse has  decreased sharply in Oslo this year. In Drammen on the other  hand, the number of such deaths has doubled.    So far this year 42 people have been found dead in Oslo from  overdoses. During all of last year 76 such deaths were recorded.  There is no clear explanation of this development. The head of  the overdose team in Oslo, Rolf-Dieter Cron, thinks that the  increase in drug interdiction during the past year has played no  part in this positive development.    Fewer Emergencies    The police are also hesitant to draw any solid conclusions  about what impact large drug confiscations have had on the  availability in the illegal market.    The overdose team has had fewer emergency calls than in the  previous two years. At the same time one has had to give  antidotes to several people to save their life. Last year about  60 percent of those who had taken an overdose were given an  antidote, and this year this has risen to almost 80 percent.    ""Of the 42 deaths recorded this year we see a trend that  many  of these do not belong to the typical inner-city environment.  Many of these have been visitors. I am now anxious to see if the  decline in the number of deaths will also take place in other  large cities like Copenhagen, Bremen, and Stockholm,"" Cron says.    He thinks that if there is no decline in the other cities,  the overdose team's efforts are an important reason for the  decline in Oslo. He thinks that the increase in confiscated  sedatives will also have an impact. Police this year have  confiscated 30,000 pills compared to about 10,000 last year.    Dramatic in Drammen    ""We know that the mixture of heroin and sedatives is a  life-threatening combination. When it is more difficult to  obtain pills, this situation will have an effect on the number  of overdoses,"" Cron says.    Drammen has had a tremendous increase in the number of drug  deaths this past year. So far 21 deaths have been recorded. In  all of last year the city had 13 such cases. The cities of  Stavanger and Bergen have also had a higher number of overdoses  and deaths. Because of the increases there the number of deaths  in the entire country will probably not decrease this year  compared to last year. Then a total of 97 deaths were recorded.    Police Lieutenant Kristian Sather at Drammen police station  is quite worried over this development.    ""It is increasingly younger people who are being recruited  into the drug scene. Drammen is a burdened city, and we have  much to fight against."" He points out the fact that the police  alone cannot prevent people from being drawn into the drug scene.    ""The ambulance service in Drammen has done a great job and  saved many lives,"" Sather says.     "
0," FBIS3-22068      ""jptdd013"," FBIS3-22068      ""jptdd013__l94071""        JPRS-tdd-94-013-L  Document Type:JPRS  Document Title:Narcotics     20 March 1994      NEAR EAST  SOUTH ASIA   LEBANON      Suspect in Deaths of 3 Policemen Apprehended, Interrogated    NC2003173594 Beirut Radio Lebanon in Arabic 1657 GMT 20 Mar  94    NC2003173594    Beirut Radio Lebanon     Language:  Arabic  Article Type:BFN     [Text] Regarding the news report about the crime  perpetrated by Shakir 'Umran al-Buraydi that left three members  of the Judicial Police Force dead and a fourth wounded, we have  just received the following report:    Following inquiries, the security forces succeeded in  discovering the area where the criminal had taken refuge. They  carried out a series of raids and encirclements that lasted more  than two hours. With the security forces completely surrounding  his hideout, the criminal opened fire on them. They responded  in kind, forced him to surrender, seized the weapon he used in  his crime, and transported him under armed guard to the Shtawrah  Police Station, where Interior Minister Bisharah Mirhij was  supervising the pursuit along with the al-Biqa governor and  several security forces commanders.    The security forces handed the criminal over to Judge Khalid  Hammud, the government's assistant delegate to the Military  Tribunal. Judge Hammud immediately began interrogating the  suspect.    Minister Mirhij, meanwhile, left for the Sa'd Nayil township  to offer his condolences to the family of martyred Sergeant  Mustafa Faris.     "
0," FBIS4-21228      ""jptdd017"," FBIS4-21228      ""jptdd017__l94071""        JPRS-TDD-94-017-L  JPRS  Narcotics     18 April 1994      WEST EUROPE   AUSTRIA      Officials Fear `Record' Number of Drug-Related Deaths in 1994      Officials Fear `Record' Number of Drug-Related Deaths in 1994      AU1804163094 Vienna DIE PRESSE in German 18 Apr 94 p 8   AU1804163094    Vienna DIE PRESSE    German     BFN    [Unattributed report: ``Number of Drug Deaths  Skyrocketing'']    [Excerpt] Vienna -- This year police have already registerd  49 drug deaths in Vienna. Throughout last year there were 103  deaths from drugs in the capital (173 in all Austria). As a  result of the latest figures, a negative record is feared for  1994. [passage omitted]     "
0," FBIS4-3904      ""drchi080"," FBIS4-3904      ""drchi080_w_94009""        FBIS-CHI-94-080  Daily Report    25 Apr 1994      HONG KONG  MACAO   Hong Kong      Police Seizures of Heroin Increase      Police Seizures of Heroin Increase      HK2504070494 Hong Kong SOUTH CHINA MORNING POST in English  25 Apr 94 p 1    HK2504070494    Hong Kong SOUTH CHINA MORNING POST    English     BFN    [By Darren Goodsir]    [Text] Police have seized more high-grade heroin in the  past three months than the total amount seized in 1993, causing  wholesale drug prices to climb slightly for the first time in  six months.    The Narcotics Bureau says the local drug market is now  choked  with heroin that is about 35 percent pure. Last month alone,  police confiscated 128 kilograms of the drug. The total amount  for 1993 was 223 kilograms.    The increase was indicative of a continuing flood of heroin  into the territory and more intensive police operations. Last  month, police recovered 96 blocks of heroin worth $50 million  from the seabed near Lamma Island. The 67-kilogram haul was the  biggest for two years. Despite a month-long nautical  surveillance operation no arrests have been made.    In early March, 33 kilograms of heroin were discovered in a  hut at Yuen Long.    There has also been an increase in the prevalence of the  drug  ""ice,"" a synthetic crystalline methamphetamine.    So far this year, 22 kilograms of ""ice"" has been seized,  more  than the total taken by police in the past two years. Last  year, drug-related arrests rose by 44 percent to 9,246. Deaths  linked to the abuse of narcotics jumped by 34 percent to 92.    Narcotics Bureau chief staff officer, Acting Chief  Superintendent Iain Grant, said the extra drugs seized did not  give police any reason for complacency. ""Obviously, if one  measures success by seizures and arrests, then we can say both  figures are up,"" Mr Grant said. ""But the other side is that  there appear to be more drugs on the streets. There is always  an element of luck in getting these results but a lot of it  boils down to good, old-fashioned police work.""    Mr Grant said police intelligence suggested Hong Kong was no  longer as popular a transit centre for drug deals but many  transactions were still locally brokered or financed. He said  he was particularly pleased with recent police efforts to  destroy drug-cutting centres where pure heroin is diluted for  extra profits and ease of consumption by addicts. In 1993, 30  such facilities were located and shut down. This year seven  have been identified.     "
0," FBIS4-56617      ""drlat088"," FBIS4-56617      ""drlat088_l_94003""        FBIS-LAT-94-088  Daily Report    5 May 1994      Bolivia      Mourning for Peasant, Journalist Deaths      Mourning for Peasant, Journalist Deaths      PY0505191894 La Paz Radio Fides Network in Spanish 1100 GMT  5 May 94    PY0505191894    La Paz Radio Fides Network    Spanish     BFN    [Report from Potosi]    [Text] The Potosi Civic Committee has decreed mourning at  the departmental level and suspended all activities in view of  the death of another peasant. After an exhaustive debate, the  Potosi Civic Committee board last night decided to demand that  the government investigates the violent incidents against  peasants. They also demand that legislators summon the Justice  and Peace Committee, and that the congressional human rights  committee send representatives to Potosi to investigate the  killings of two peasants. Moreover, people fear the fate of 11  peasants who have been reported missing.    In view of this, mourning has been decreed at the  departmental level and all activities have been suspended. The  Civic Committee also summoned all citizens to attend the funeral  procession today at 1600 at the general cemetery.    Peasant leaders also reported that peasants will march on  the  city. Cristobal Quiri, leader of the Potosi branch of General  Trade Union Confederation of Bolivian Peasant Workers [CSUTCB],  reported that peasants marching on the city will be arriving  today at 1000 to demand the release of those arrested and to  clarify the situation of the missing.    Francisco Cruz was one of those reported missing. He was  found dead at the local morgue. The police found his body in a  garbage dump in (Pacla-Pacla). Cruz's body shows signs of  torture. Francisco Cruz was a member of a journalist union in  his capacity as reporter [words indistinct]. In view of this,  journalists have asked officials to perform an autopsy which  will be performed today at 0800 at the general cemetery.  Journalists will later stage a demonstration to protest over  the constant harassments to which they are subjected at the hand  of government repressive organizations, seeking to involve them  in terrorism and rebellion.    The police found an unidentified body at a garbage dump. An  anonymous call placed through the 110 telephone number reported  the presence of an unidentified male body at a garbage dump.  The forensic doctor determined the man died from alcohol  intoxication.    Potosi Police Commander Colonel Roberto Foronda Franco said:    [Begin recording] [Forondo Franco] (?The body was not  removed  today) but on 1 May. At the time Forensic Doctor Ramiro Ruiz  established that an unidentified male, about 35 years old, had  died of alcoholic intoxication (?after he had) fallen off a  cliff. It is presumed the man died about three days ago, that  is, on 29 April.    After the local settlers informed the police, the police  precinct sent [words indistinct] and the forensic doctor went to  the site to remove the body.    [Unidentified reporter] What was the precise location of  this  incident?    [Forondo Franco] First of all I must specify that this  [words  indistinct] 72 hours before the police intervention. The body  was removed from a large city garbage dump, about 5 km (?from  the city) at a place called (Pacla Pacla) [words indistinct].  [end recording]    According to CSUTCB leaders, the unidentified body is that  of  Francisco Cruz.     "
0," FBIS3-21919      ""jptdd012"," FBIS3-21919      ""jptdd012__l94044""        JPRS-TDD-94-012-L  Document Type:JPRS  Document Title:Narcotics     28 December 1993      LATIN AMERICA   JAMAICA      Two Jamaicans Identified Following Deaths Caused by Cocaine Ingestion    94WD0256B Kingston THE DAILY GLEANER in English 28 Dec 93 p 3   94WD0256B    Kingston THE DAILY GLEANER     Language:  English  Article Type:CSO     [Text] Kingston (NICA) -- Two Jamaicans, who died recently  in Panama from an overdose of cocaine they were smuggling into  Jamaica by swallowing it in plastic packets and condoms, have  been identified.    Narcotics Police Division sources say they are David  Sylvester Foster, 29, a higgler, who died on December 9 at the  Aruba Hotel in Panama City, while preparing to catch a COPA  flight to Jamaica.    Autopsy report shows that he died from an overdose of  cocaine  after a packet in which he had ingested the drug burst in his  stomach.    The other victim has been identified as Yvette Tores, who  died at the airport in Panama City on December 16. She fell ill  as she was about to board a COPA flight for Jamaica and later  died.    She too died of cocaine overdose when the plastic wrapping  in  which she swallowed the cocaine burst and poisoned her system,  local Narcotics Police Division source said. Her body and that  of Mr. Foster are still in Panama.    And an autopsy done at the Cornwall Regional Hospital in  Montego Bay on December 22 on the body of Mrs. Sonia  Whitley-Anderson, 38, of Kendal, Hanover, revealed that she too  died of a cocaine overdose. When on December 9, she collapsed at  Sangster International Airport, Montego Bay, aboard SAM flight  506 on its arrival from San Andres, Colombia, five packets of  cocaine were found in her brassiere.    The post-mortem examination on Tuesday showed that she had  78  packets of cocaine in her stomach. Also, an empty plastic  wrapping was found in her stomach, indicating that it had come  loose and the cocaine in it had killed her.    Cocaine experts say that ""mules"" hired to smuggle cocaine  into Jamaica in their stomachs, usually swallow between 1 lb.  and 1 1/2 lb of the drug. Medical experts roughly estimate the  death-producing dose of cocaine to be 1.2 grams, but much  smaller doses have been known to cause fatalities. A gram is  roughly equivalent to the weight of a paper clip. When cocaine  is ingested it disrupts the heart rhythm and depresses the  respiratory centre, causing immediate death.     "
0," FBIS4-2576      ""drchi070"," FBIS4-2576      ""drchi070_g_94001""        FBIS-CHI-94-070  Daily Report    8 Apr 1994      Sub-Saharan Africa      Spokesman Extends Condolences on Leaders Deaths      Spokesman Extends Condolences on Leaders Deaths      OW0804100094 Beijing XINHUA in English 0942 GMT 8 Apr 94   OW0804100094    Beijing XINHUA    English     BFN     [Text] Beijing, April 8 (XINHUA) -- A Chinese Foreign  Ministry spokesman expressed profound condolences here today on  the death of President Cyprian Ntaryamira of Burundi and  President Juvenal Habyarimana of Rwanda.    Deep sympathy was also expressed for their families.    China hopes that this event will not adversely affect  stability in their countries nor the on-going peace process in  Burundi and Rwanda, the spokesman said.     "
0," FBIS4-67603      ""jptep002"," FBIS4-67603      ""jptep002__l94006""        JPRS-TEP-94-002-L  JPRS  Epidemiology     20 April 1994      EAST ASIA   MONGOLIA      Over 900 Cases of Meningitis, 53 Deaths      Over 900 Cases of Meningitis, 53 Deaths      OW2004121494 Ulaanbaatar MONTSAME in English 1032 GMT 20 Apr  94    OW2004121494    Ulaanbaatar MONTSAME    English     BFN     [Excerpt] Ulaanbaatar, April 20 (OANA-MONTSAME) --  [passage omitted] According to the capital city newspaper  ULANNBAATAR, since the beginning of the year more than 920  people had caught this infectious disease of meningit [as  received] and some 53 out of them died of it. The newspaper  reports that the rate of infectious meningit has to be declined  recently and tends to preserve its race for a few last days at  the same level. [sentenced as received]     "
0," FBIS4-68636      ""jpusr052"," FBIS4-68636      ""jpusr052___94050""        FBIS-USR-94-052  JPRS        FBIS Report: Central Eurasia     7 May 1994   CAUCASUS   AZERBAIJAN      Medicine Shortage Blamed for Child Diphtheria Deaths      Medicine Shortage Blamed for Child Diphtheria Deaths      944K1199C Baku SODRUZEHSTVO in Russian 7 May 94 p 1   944K1199C    Baku SODRUZEHSTVO    Russian     CSO    [SHARG agency report under the ""Short and Clear"" rubric]    [Text] According to a SHARG agency report, republic  Minister of Health Ali Insanov informed the Cabinet of Ministers  that due to the shortage of medicines, the number of children  dying from diphtheria is increasing. The minister said that last  year the state spent $2 million for pharmaceutical purchases.  This is 20-25 times less than preceding years. The minister of  health proposed to purchase vaccines in France in exchange for  petroleum products.     "
