,article_id,corpus_text
0," FBIS4-21838      ""jptot015"," FBIS4-21838      ""jptot015__l94003""        JPRS-TOT-94-015-L  JPRS  Terrorism       FOUO     27 March 1994   INTERNATIONAL      Danish Police Link Egyptian Arrestees to WTC Bombers      Danish Police Link Egyptian Arrestees to WTC Bombers      94P20615A Copenhagen BERLINGSKE TIDENDE SONDAG in Danish 27  Mar 94 p 2    94P20615A    Copenhagen BERLINGSKE TIDENDE SONDAG    Danish     CSO    [Article by ""bba"": ""FBI Following Up Danish Trail in Bombing  Case""]    [Text] Telephone numbers and addresses found on Egyptians  being held in Denmark connect those jailed with the bombing of  the World Trade Center (WTC), in which six died, and over 1,000  persons were injured.    The bombing of the New York WTC may have connections to  Denmark. The Arhus police four months ago arrested three  Egyptians and charged them with attempted arson and purchasing  chemicals for fabricating bombs. [see item 94WT0004B in 7  January Terrorism Report] In searching their residence, the  police found telephone lists with names and addresses of some of  those charged with attempted murder in the United States.    ""Therefore, we asked the FBI for help in clearing up our  case. FBI colleagues have been in Denmark, and we have developed  information. We don't know, however, whether those being held in  this country have any concrete connection with the attempted  murder case itself,"" said Arhus Deputy Police Chief Villy  Sorensen.    ARHUS STIFTSTIDENDE yesterday wrote that a fingerprint of  one  of those jailed in the Arhus case is on an ""object"" found in  connection with the follow-up investigation of the New York  bombing incident.    ""I won't comment on this,"" said Sorensen. He confirmed,  however, that those being held in Arhus and those charged in the  U.S. bombing attack are members of the same Islamic  fundamentalist organization.    According to the deputy police chief, there is nothing to  indicate that the individuals being held in Arhus were in New  York when the bomb exploded in the WTC basement.    Nor have U.S. authorities requested that the jailed  individuals be handed over for prosecution in the United States.    Two of those charged in Arhus -- ages 30 and 36 -- are  asylum-seekers, while the third, a 41-year-old man, has  permanent residence in Denmark after having lived here for 10  years. The two asylum-seekers have told Danish authorities they  are applying for asylum in Denmark because they are being sought  in Egypt.     "
0," FBIS4-58523      ""drnes087"," FBIS4-58523      ""drnes087_m_94013""        FBIS-NES-94-087  Daily Report    4 May 1994      JORDAN      `Afghan' Terrorists Arrested; International Ties Cited      `Afghan' Terrorists Arrested; International Ties Cited      JN0305170194 Amman AL-BILAD in Arabic 4 May 94 p 4   JN0305170194    Amman AL-BILAD    Arabic     BFN    [""Exclusive"" report: ""Fresh Arrests Among Jordanian Afghans""]    [Excerpt] The Jordanian security authorities are continuing  their campaign of arrests against the ranks of the Jordanian  Afghans. The campaign is starting to face strong resistance by  some of the elements of these groups, who are using firearms.  This unprecedented phenomenon signals an increase in the  violence of these groups.    We have learned that the latest arrests have been  concentrated in al-Rusayfah and al-Zarqa' towns and the 'Awjan  area for the past two weeks. Officers and men, assisted by  personnel from the special police force, carried out arrests and  apprehended a great number of people from these groups, which  are believed to have a connection with attempts to plague Jordan  with terrorism.    According to a knowledgeable source, the campaign did not  end  peacefully. One of the suspects fired at a security officer,  wounding him in the leg.    The latest arrests are apparently part of a series of  measures to fight the establishment of terrorist organizations  in the Kingdom financed from abroad. Jordan is taking rather  harsh measures to contain the terrorist groups that have been  formed recently.    AL-BILAD has recently noted a number of attempts on the  world  level, instigated by Israel, as well as other attempts sponsored  by Arab businessmen, to brand Jordan with terrorism and  implicate Amman in a never ending cycle of terror.    We begin in Denmark where big question marks are raised in  connection with a fire at a residence of a Jordanian citizen who  was a member of the Muslim Brotherhood and currently resides in  Denmark. According to well-informed sources, the Danish police  arrested three Egyptians following the fire and investigated the  possibility that the suspects are connected to the bombing of  the World Trade Center [WTC]. Two of the arrested men were  political refugees and the third holds Danish citizenship as  well as Egyptian citizenship and currently resides in Denmark.    The three were accused of buying chemicals used to  manufacture explosives similar to those used in the WTC bombing.  The name of the Jordanian citizens, whose house was set on  fire, has not been released. The Danish authorities' arrest of  the three Egyptians is construed as having a link with the fire.  However, the incident created the impression, encouraged by the  United States and Israel, that certain Jordanian nationals are  involved in terrorism.    It goes without saying that for U.S. public opinion, the  most  sensitive act of terrorism is the bombing of the WTC in February  of last year. According to Arab sources, active Israeli  security bodies in Europe are now trying to invent false  connections between Jordanians residing in Europe and Egyptians  suspected of belonging to the al-Jama'ah al-Islamiyah led by  Shaykh 'Umar 'Abd-al-Rahman, currently detained in the United  States.    Therefore, Jordan must prepare to confront a media war that  is expected to be launched against it from Washington and  European capitals on terrorism stories similar to the one we  just related.    This war is not isolated from fears by certain Arab sources  that the [Israeli intelligence service] Mosad is perhaps  carrying out assassination attempts against Hamas members in  Jordan. The aim is to create confusion in Jordan and disturb  the security of the country and create a new climate of  terrorist acts.    In short, Israel is endeavoring to drown Jordan in the  maelstrom of terrorism and extremism in two ways: the first is  by giving international public opinion the impression that the  Jordanians have some sort of connection with acts of terrorism  in Europe and the United States; and second, by threatening to  carry out terrorist acts in Jordan itself and disturb the stable  security conditions in the country.    Meanwhile, secret attempts by Arabs have also been revealed  aimed at drowning Jordan in acts of terrorism by financing  groups returning from Afghanistan.    As has already been mentioned, the first Arab involved in  financing terror in Jordan was the Saudi businessman Usamah Bin-  Ladin. Jordanian security investigations have already revealed  that one of the leaders of the Jordanian Afghans, Zakariya  Muhammad Dawud, traveled to Sanaa and met with Yemeni figures  representing the financier, Bin-Ladin, who helped him join  training camps.    Bin-Ladin finances large training camps of Arab Afghans,  including quite a large number of Jordanians, in Sanaa with the  aim of exporting terror to Jordan.    Jordan is exerting immense efforts to apprehend a Saudi  merchant and arms smuggler by the name of Nasir Mashhur  al-Ruwayli. Al-Ruwayli is considered one of the most dangerous  drug traffickers and gun smugglers across Arab borders. He uses  drug smuggling in striking arms deals and smuggling these arms  to Arab states.    It is feared that this smuggler was involved in supplying  weapons to extremist groups to carry out terrorist acts.  Members of these groups in Jordan were arrested recently.    According to Arab sources, this smuggler is now charged with  smuggling drugs and arms in many Arab states including Yemen,  Algeria, and Egypt. [passage omitted]     "
0," FBIS4-68065      ""jptot019"," FBIS4-68065      ""jptot019__l94030""        JPRS-TOT-94-019-L  JPRS  Terrorism       FOUO     4 May 1994   NEAR EAST/SOUTH ASIA   JORDAN      More `Afghan' Terrorists Arrested, International Ties Cited      More `Afghan' Terrorists Arrested, International Ties Cited      JN0305170194 Amman AL-BILAD in Arabic 4 May 94 p 4   JN0305170194    Amman AL-BILAD    Arabic     BFN    [""Exclusive"" report: ""Fresh Arrests Among Jordanian Afghans""]    [Excerpt] The Jordanian security authorities are continuing  their campaign of arrests against the ranks of the Jordanian  Afghans. The campaign is starting to face strong resistance by  some of the elements of these groups, who are using firearms.  This unprecedented phenomenon signals an increase in the  violence of these groups.    We have learned that the latest arrests have been  concentrated in al-Rusayfah and al-Zarqa' towns and the 'Awjan  area for the past two weeks. Officers and men, assisted by  personnel from the special police force, carried out arrests and  apprehended a great number of people from these groups, which  are believed to have a connection with attempts to plague Jordan  with terrorism.    According to a knowledgeable source, the campaign did not  end  peacefully. One of the suspects fired at a security officer,  wounding him in the leg.    The latest arrests are apparently part of a series of  measures to fight the establishment of terrorist organizations  in the Kingdom financed from abroad. Jordan is taking rather  harsh measures to contain the terrorist groups that have been  formed recently.    AL-BILAD has recently noted a number of attempts on the  world  level, instigated by Israel, as well as other attempts sponsored  by Arab businessmen, to brand Jordan with terrorism and  implicate Amman in a never ending cycle of terror.    We begin in Denmark where big question marks are raised in  connection with a fire at a residence of a Jordanian citizen who  was a member of the Muslim Brotherhood and currently resides in  Denmark. According to well-informed sources, the Danish police  arrested three Egyptians following the fire and investigated the  possibility that the suspects are connected to the bombing of  the World Trade Center [WTC]. Two of the arrested men were  political refugees and the third holds Danish citizenship as  well as Egyptian citizenship and currently resides in Denmark.    The three were accused of buying chemicals used to  manufacture explosives similar to those used in the WTC bombing.  The name of the Jordanian citizens, whose house was set on  fire, has not been released. The Danish authorities' arrest of  the three Egyptians is construed as having a link with the fire.  [see 7 January Terrorism Report for initial arrest report]  However, the incident created the impression, encouraged by the  United States and Israel, that certain Jordanian nationals are  involved in terrorism.    It goes without saying that for U.S. public opinion, the  most  sensitive act of terrorism is the bombing of the WTC in February  of last year. According to Arab sources, active Israeli  security bodies in Europe are now trying to invent false  connections between Jordanians residing in Europe and Egyptians  suspected of belonging to the al-Jama'ah al-Islamiyah led by  Shaykh 'Umar 'Abd-al-Rahman, currently detained in the United  States.    Therefore, Jordan must prepare to confront a media war that  is expected to be launched against it from Washington and  European capitals on terrorism stories similar to the one we  just related.    This war is not isolated from fears by certain Arab sources  that the [Israeli intelligence service] Mosad is perhaps  carrying out assassination attempts against Hamas members in  Jordan. The aim is to create confusion in Jordan and disturb  the security of the country and create a new climate of  terrorist acts.    In short, Israel is endeavoring to drown Jordan in the  maelstrom of terrorism and extremism in two ways: the first is  by giving international public opinion the impression that the  Jordanians have some sort of connection with acts of terrorism  in Europe and the United States; and second, by threatening to  carry out terrorist acts in Jordan itself and disturb the stable  security conditions in the country.    Meanwhile, secret attempts by Arabs have also been revealed  aimed at drowning Jordan in acts of terrorism by financing  groups returning from Afghanistan.    As has already been mentioned, the first Arab involved in  financing terror in Jordan was the Saudi businessman Usamah  Bin-Ladin. Jordanian security investigations have already  revealed that one of the leaders of the Jordanian Afghans,  Zakariya Muhammad Dawud, traveled to Sanaa and met with Yemeni  figures representing the financier, Bin-Ladin, who helped him  join training camps.    Bin-Ladin finances large training camps of Arab Afghans,  including quite a large number of Jordanians, in Sanaa with the  aim of exporting terror to Jordan.    Jordan is exerting immense efforts to apprehend a Saudi  merchant and arms smuggler by the name of Nasir Mashhur  al-Ruwayli. Al- Ruwayli is considered one of the most dangerous  drug traffickers and gun smugglers across Arab borders. He uses  drug smuggling in striking arms deals and smuggling these arms  to Arab states.    It is feared that this smuggler was involved in supplying  weapons to extremist groups to carry out terrorist acts.  Members of these groups in Jordan were arrested recently.    According to Arab sources, this smuggler is now charged with  smuggling drugs and arms in many Arab states including Yemen,  Algeria, and Egypt. [passage omitted]     "
0,FT931-4556 ,"FT931-4556 _AN-DCJCTAGJFT 930310   FT  10 MAR 93 / Commodities and Agriculture: Bomb teaches NY exchanges the value of co-operation      By LAURIE MORSE      CHICAGO   ROUGH ESTIMATES of the cost of keeping New York's five commodities exchanges operating during the week after the World Trade Center bomb blast fall near Dollars 1m, with most of the money spent on emergency services such as fire patrols and auxiliary cooling equipment. The cost, exchange executives say, has been minor, compared with the importance of keeping the markets open. The exchanges include the New York Mercantile Exchange, where most of the world's oil is priced, the New York Commodity Exchange, an important metals market, the New York Cotton Exchange, the Coffee Sugar and Cocoa Exchange, and the tiny New York Futures Exchange, a subsidiary of the New York Stock Exchange. These markets provide worldwide price quotes for a variety of strategic commodities. 'We had to stay open,' says Mr Lou Guttman, the Nymex chairman. 'There was a lot of money riding on this. If we had closed down for two weeks, I would have had to tell a lot of guys to go home and not come back. There wouldn't have been a market to come back to.' At the exchanges, which share a trading floor in a WTC building not directly hit by the blast, the week following the bombing was marked by severe problems. Traders and support staff laboured without heat or air conditioning amid repeated crank bomb threats and the overhanging threat of power loss. Technicians at one point brought in dry ice to cool exchange computers; and the Nymex and the Chicago Mercantile Exchange worked out a pact for emergency price reporting, in case Nymex's tickers failed. Despite the difficulties, traders managed to squeeze a lot of business into half-day sessions. Volume at the Coffee Sugar and Cocoa Exchange was actually higher than in the same week in 1992, and the giant Nymex traded only about 20 per cent fewer contracts. Volumes at the Comex and the Cotton Exchange were down about 40 per cent for the week, and the Nyfe turned about 15 per cent fewer trades. This week, air conditioning has been restored and most trading hours have returned to normal, with the exception of earlier closings for the Nymex and a half-session for Comex's Eurotop 100 futures. The atmosphere at the Commodity Exchange Center is far from normal, however. Nymex oil traders, reminded of their vulnerability to terrorism, have sought additional security. Bomb-sniffing dogs now roam the trading floor, armed guards patrol the lobbies and packages are examined by airport-style x-ray machines. The crisis, it seems, brought an unexpected benefit: exchange executives say it forced co-operation between the five normally fractious exchanges. 'We were actually working together,' said the Nymex's Mr Guttman. The bombing has also set off a scramble for 'shadow' trading floors. The Nyfe is refitting its old space at the New York Stock Exchange for emergencies and Nymex, which plans to move to new quarters in Manhattan in the second quarter of 1994, may keep its WTC space as a back-up.   Countries:-  USZ  United States of America.   Industries:-  P6231 Security and Commodity Exchanges.   Types:-  TECH  Services.     MGMT  Management.     RES  Resources.  The Financial Times   London Page 36  "
0," FBIS3-42326      ""jptot007"," FBIS3-42326      ""jptot007__l94004""        JPRS-TOT-94-007-L  Document Type:JPRS  Document Title:Terrorism       FOUO     16 February 1994   INTERNATIONAL      Thai Deputy Minister--No Confirmation on WTC Terrorists    BK0502155094 Bangkok Thai Color Television Channel 9 in Thai  1200 GMT 5 Feb 94    BK0502155094    Bangkok Thai Color Television Channel 9     Language:  Thai  Article Type:BFN     [Text] Speaking to reporters, Deputy Foreign Minister Surin  Phitsuwan said he could not confirm the report by a foreign news  agency that the suspects in the bombing of the World Trade  Center [WTC] are hiding in Thailand. Surin said he did not know  where the agency got its information. The National Security  Council is checking the report. If this is true, it will give  Thailand a bad reputation. The Foreign Ministry will make  clarifications later.    [Begin Surin recording, in progress] ...U.S. Government  authorities in Thailand have confirmed to me that they have no  information on this matter -- no proof, no evidence. They  themselves know nothing about it. They do not know who the  source of the report is or how reliable it is. Therefore, we  will have to check on it. We cannot remain idle; still, we  cannot take the report at face value because there has been no  confirmation. We have only read this in newspapers that quote  sources and make headlines about it. [end recording]     "
0,FT924-13894 ,"FT924-13894 _AN-CJMCIAEZFT 921013   FT  13 OCT 92 / International Company News: WTC agrees sale of HK office complex to China      By REUTER      HONG KONG   WORLD Trade Centre (WTC), a company in the Tomson Pacific group headed by Macao casino entrepreneur Mr Stanley Ho, has agreed to sell the Hongkong World Trade Centre to Resourceful River, a mainland Chinese concern, for HKDollars 2.5bn (USDollars 323m), Reuter reports from Hong Kong. Mr David Lee, WTC general manager, said the deal to sell the shopping and office complex in Hong Kong's Causeway Bay district would bring a net profit of about HKDollars 650m. Shareholders have yet to approve the deal. In May, Hongkong Land sold a central district block to a Chinese consortium for HKDollars 3.8bn. Mr Lee said: 'The proceeds will be used to repay debts, finance the company's various projects in China, and for strategic investment in Hong Kong and south-east Asia.' On September 1, the Hong Kong government appointed an inspector to probe the affairs of WTC and Tomson Pacific after a Securities and Futures Commission investigation into certain share deals by the two companies.  The Financial Times   London Page 30  "
0,FT922-5231 ,"FT922-5231 _AN-CFAA4AD7FT 920601   FT  01 JUN 92 / Ten arrests at unveiling of 'Bomber' Harris statue   POLICE arrested 10 protesters yesterday at the dedication ceremony in central London of a statue of Sir Arthur 'Bomber' Harris, the RAF chief responsible for the blanket bombing campaign over German cities in the Second World War. The arrests followed the unveiling of the statue by the Queen Mother, who was interrupted and heckled during a speech honouring Sir Arthur and the 55,000 allied Bomber Command aircrew killed in action. Scuffles broke out as protesters standing in a crowd of wartime veterans shouted 'Harris was a mass murderer'. The Queen Mother said that Sir Arthur was 'an inspiring leader' and that the bombing crews had 'given us hope and the means of salvation' during the war. The ceremony sparked protests in several German cities and was condemned by civic leaders in some towns hit by RAF bombers. The German foreign ministry and the mayors of Dresden, Cologne and Pforzheim protested at the memorial. The Queen Mother, patron of the Bomber Command Association which paid for the statue, performed the ceremony at St Clement Danes Church in the Strand.  The Financial Times   London Page 16  "
0,FT931-5315 ,"FT931-5315 _AN-DCGAJAB7FT 930306   FT  06 MAR 93 / Towers of strength at a time of disaster: Three of New York's finest      By NIKKI TAIT and KAREN ZAGOR   Disasters have a knack of catapulting individuals into the limelight - and the blast which rocked New York's World Trade Center complex last week was no exception. Three men have captured both the city's and the nation's attention: Stanley Brezenoff, the burly, 55-year-old executive director of the Port Authority of New York and New Jersey, which owns and operates the World Trade Center complex; Raymond Kelly, the veteran New York city policeman who became the city's 37th police commissioner in October; and James Fox, head of the Federal Bureau of Investigation's New York office. These three spearheaded an emergency response which has been widely viewed as efficient, humane and relatively free of strife between different public agencies. Whether such commendation would have persisted had investigations flagged or further incidents occurred is open to question. In the event, Thursday's arrest of Mohammed Salameh, a Moslem fundamentalist, placated most critics. The division of responsibilities quickly became clear. After an inter-agency meeting at Mayor David Dinkins's offices last Sunday morning, Brezenoff, crumpled and in a cardigan, emerged to handle questions about the safety of the seven-building complex and the tenants' fate. Visitors to New York usually associate the Port Authority with a notoriously sleazy bus terminal on 8th Avenue. Even New Yorkers think of it principally in terms of the PATH (Port Authority Trans Hudson) train system which connects New Jersey with Manhattan. But the PA is a massive agency, with a Dollars 2.7bn annual budget and jurisdiction over the region's airports, tunnels, bridges and harbour operations, as well as five industrial parks and the WTC. Brezenoff himself was on the 67th floor of One World Trade Center, one of the twin towers which dominate Manhattan's skyline, when the blast occurred. He directed staff off the floor and helped carry a wheelchair-bound colleague down dozens of flights of stairs. He reached the ground about five hours after the explosion, by which time the mayor's Office of Emergency Management, which co-ordinates the city's rescue efforts during disasters, had begun to act. Brezenoff went straight to the makeshift command centre set up in the devastated Vista hotel's ballroom. Over the weekend, Brezenoff set up temporary headquarters in a nearby Marriott hotel and helped arrange for New York's futures exchanges, which share a trading floor at Four World Trade Center, to open on Monday. Many of the WTC's largest tenants are big financial firms with other office locations nearby and so able to fend for themselves. For example, Deloitte  Touche, the accountancy firm, which had 1,200 people working on seven floors of one WTC tower, relocated them without the help of the Port Authority. New York state set up a Dollars 5m assistance scheme, providing interest-free loans for small businesses displaced by the disaster. However, Brezenoff has found himself deflecting charges that the Port Authority ignored reports in the mid-1980s and 1991 which highlighted safety flaws at the WTC. Lawsuits were filed within days of the blast, and Brezenoff expects 'these will multiply. We carry property damage and liability insurance which I believe will cover everything for which we may be liable.' Over the longer term, Brezenoff may face a harder task. There is a question mark over future confidence in the centre, particularly if it acquires a reputation as a terrorists' target. By Thursday, the New York Times was reporting that three tenants or potential tenants of the WTC - Rollins Hudig Hall, an insurance company, Bank of America and Fiduciary Trust, an investment bank - were reconsidering leasing space or extending their leases in the downtown location. Brezenoff responded quickly, arranging for Fiduciary Trust's chairman to lead Thursday's daily press briefing with a declaration that the company was concluding negotiations for a second 20-year lease on its offices and had no intention of leaving the WTC. In addition, Brezenoff said the Port Authority signed a new lease within days of the blast for a 7,000 sq ft restaurant in the centre. Public wariness may also have been allayed by the fact that the investigation into the bombing is being handled jointly by the FBI and the New York Police Department's bomb squad, one of the oldest and largest US municipal forces. The NYPD has emerged with its reputation enhanced over the past week, thanks largely to Police Commissioner Raymond Kelly. The Irish-American grew up on Manhattan's West Side, once worked as a stock-boy at Macy's department store, and has been with the police department for three decades. Nevertheless, his appointment as commissioner came at a delicate time. Last autumn, police corruption was dominating the local tabloid press, and public confidence in the NYPD was at low ebb. Vocal sections of the police force claimed that their work was being undermined by city officials - in particular, by Mayor Dinkins - who appeared more anxious to support the city's many racial minorities than back the force. The bombing is the first serious incident with which Kelly has had to grapple as commissioner, and it has neatly deflected attention from these thorny local issues. Kelly's public image as no-nonsense and straight-talking has been polished by his daily TV appearances, and for once the city is confronting an event on which public opinion is united. James Fox, the FBI director, has remained a more enigmatic figure. Fox appears in the public eye during times of local crisis - most recently in February when a hijacked Lufthansa jet landed at Kennedy Airport - only to slip back into the shadows once the emergency has passed. In New York, Fox is best known for his comments after mafia boss John Gotti was convicted on murder and racketeering charges in April: 'The Teflon is gone. The don is covered with Velcro, and all the charges stuck.' In spite of the apparent goodwill among the agencies, by yesterday, strains between city and federal law enforcement bodies were starting to show. There were recriminations that news leaks by federal officials had forced a premature arrest of Mr Salameh, and hampered investigations. Nevertheless, co-operation between New York's public agencies this week reflects their cool professionalism under fire and may pave the way for closer relations in future.   Countries:-  USZ  United States of America.   Industries:-  P9121 Legislative Bodies.     P9621 Regulation, Administration of Transportation.     P9221 Police Protection.   Types:-  PEOP  Personnel News.   People:-  Brezenoff, S Port Authority of New York and New Jersey US.     Kelly, R Police Commission New York US.     Fox, J Head Federal Bureau of Investigation New York US.  The Financial Times   London Page 9  "
0,FT933-14822 ,"FT933-14822 _AN-DGMB6AARFT 930713   FT  13 JUL 93 / Far-right arrests in Italy      By ROBERT GRAHAM      ROME   ITALIAN police yesterday arrested Mr Franco Freda, a well known right-wing extremist, on charges of organising a neo-Nazi party and of racism. At least six other people were detained in different parts of the country. Organising a neo-Nazi or fascist party has been a crime since 1952, but it is the first time legislation, approved last month, to clamp down on racism has been used. The arrests suggest the authorities are taking seriously the threat of organised attacks against immigrants and incitement to racism, especially in the light of developments in Germany. In the past year some 300 actions by right-wing extremists have been reported. Mr Freda recently founded the National Front, which magistrates believe is run from Verona. He was acquitted in 1985 of involvement in one of Italy's main unresolved terrorist incidents, the bombing of Milan's Piazza Fontana in 1969 when 17 people were killed and hundreds wounded.   Countries:-  GBZ  United Kingdom, EC.   Industries:-  P9229 Public Order and Safety, NEC.   Types:-  NEWS  General News.  The Financial Times   London Page 2  "
0,FT933-8069 ,"FT933-8069 _AN-DHRCGABYFT 930818   FT  18 AUG 93 / Pounds 6,000 damages for terror arrests   TWO PEOPLE arrested under the Prevention of Terrorism Act have each been paid Pounds 6,000 damages in addition to legal costs, and received a 'full apology' from the police. Armed officers arrested Ms Sarah Cohen and Mr Sean Hampson during a night raid on their home in March, two months after the Harrods bombing in Knightsbridge.   Countries:-  GBZ  United Kingdom, EC.   Industries:-  P9221 Police Protection.   Types:-  NEWS  General News.  The Financial Times   London Page 9  "
